Substance,Class,Sample.ID,total.Wt.Percent,mg,Per1,Per2,Per3,Per4,Per5,Per6,Per7,P3_7_index,P4_7_index,P5_7_index,P1_2_index,P1_index,P2_index,P3_index,P4_index,P5_index,P6_index,P7_index,Primary_PAH
006_HFO,HFO,13,2.9,116.0,0,8,19,17,21,22,13,2.668,2.117,1.624,0.232,0.0,0.232,0.551,0.493,0.609,0.638,0.377,6
007_HFO,HFO,112,1.8,72.0,2,3,1,2,10,36,47,1.728,1.71,1.674,0.09,0.036,0.054,0.018,0.036,0.18,0.648,0.846,7
008_HFO,HFO,51,27.0,1080.0,0,7,44,22,14,10,2,24.84,12.96,7.02,1.89,0.0,1.89,11.88,5.94,3.78,2.7,0.54,3
017_HFO,HFO,6,0.62,24.8,0,1,22,22,21,21,13,0.6138,0.4774,0.341,0.0062,0.0,0.0062,0.1364,0.1364,0.1302,0.1302,0.0806,4
018_HFO,HFO,131,3.5,140.0,0,2,19,26,23,20,10,3.43,2.765,1.855,0.07,0.0,0.07,0.665,0.91,0.805,0.7,0.35,4
020_HFO,HFO,84,4.4,176.0,3,29,14,7,15,22,10,2.992,2.376,2.068,1.408,0.132,1.276,0.616,0.308,0.66,0.968,0.44,2
021_HFO,HFO,32,13.0,520.0,0,3,46,30,14,6,2,12.74,6.76,2.86,0.39,0.0,0.39,5.98,3.9,1.82,0.78,0.26,3
024_HFO,HFO,92,3.6,144.0,1,17,36,23,14,9,1,2.988,1.692,0.864,0.648,0.036,0.612,1.296,0.828,0.504,0.324,0.036,3
025_HFO,HFO,133,2.9,116.0,1,12,28,22,18,13,5,2.494,1.682,1.044,0.377,0.029,0.348,0.812,0.638,0.522,0.377,0.145,3
028_HFO,HFO,139,4.8,192.0,0,3,36,33,18,8,2,4.656,2.928,1.344,0.144,0.0,0.144,1.728,1.584,0.864,0.384,0.096,3
031_HFO,HFO,98,5.2,208.0,0,2,13,27,28,22,9,5.148,4.472,3.068,0.104,0.0,0.104,0.676,1.404,1.456,1.144,0.468,5
034_HFO,HFO,161,48.0,1920.0,0,1,24,40,21,11,3,47.52,36.0,16.8,0.48,0.0,0.48,11.52,19.2,10.08,5.28,1.44,4
036_OLBO,BO,68,2.4,96.0,2,27,32,15,12,11,0,1.68,0.912,0.552,0.696,0.048,0.648,0.768,0.36,0.288,0.264,0.0,3
050_HFO,HFO,59,5.0,200.0,0,0,20,44,27,8,1,5.0,4.0,1.8,0.0,0.0,0.0,1.0,2.2,1.35,0.4,0.05,4
058_HFO,HFO,119,9.1,364.0,1,30,30,15,14,9,0,6.188,3.458,2.093,2.821,0.091,2.73,2.73,1.365,1.274,0.819,0.0,3
060_OLBO,BO,26,0.14,5.6,0,20,22,9,11,26,12,0.112,0.0812,0.0686,0.028,0.0,0.028,0.0308,0.0126,0.0154,0.0364,0.0168,6
066_OLBO,BO,114,0.35,14.0,0,2,51,46,1,0,0,0.343,0.1645,0.0035,0.007,0.0,0.007,0.1785,0.161,0.0035,0.0,0.0,3
071_HFO,HFO,54,4.7,188.0,0,6,34,25,20,13,2,4.418,2.82,1.645,0.282,0.0,0.282,1.598,1.175,0.94,0.611,0.094,3
072_OLBO,BO,126,0.37,14.8,0,1,17,39,26,13,4,0.3663,0.3034,0.1591,0.0037,0.0,0.0037,0.0629,0.1443,0.0962,0.0481,0.0148,4
073_OLBO,BO,128,1.2,48.0,0,58,42,0,0,0,0,0.504,0.0,0.0,0.696,0.0,0.696,0.504,0.0,0.0,0.0,0.0,2
074_OLBO,BO,49,0.5,20.0,0,64,36,0,0,0,0,0.18,0.0,0.0,0.32,0.0,0.32,0.18,0.0,0.0,0.0,0.0,2
075_OLBO,BO,81,0.84,33.6,0,1,47,38,12,2,0,0.8316,0.4368,0.1176,0.0084,0.0,0.0084,0.3948,0.3192,0.1008,0.0168,0.0,3
078_HFO,HFO,140,3.5,140.0,1,25,32,18,13,10,0,2.555,1.435,0.805,0.91,0.035,0.875,1.12,0.63,0.455,0.35,0.0,3
079_HFO,HFO,36,1.7,68.0,0,13,34,20,17,12,4,1.479,0.901,0.561,0.221,0.0,0.221,0.578,0.34,0.289,0.204,0.068,3
080_HFO,HFO,33,5.9,236.0,3,25,28,20,14,10,0,4.248,2.596,1.416,1.652,0.177,1.475,1.652,1.18,0.826,0.59,0.0,3
081_OLBO,BO,41,0.73,29.2,0,7,10,15,24,28,16,0.6789,0.6059,0.4964,0.0511,0.0,0.0511,0.073,0.1095,0.1752,0.2044,0.1168,6
091_HFO,HFO,50,8.2,328.0,0,9,27,25,19,14,5,7.38,5.166,3.116,0.738,0.0,0.738,2.214,2.05,1.558,1.148,0.41,3
092_OLBO,BO,75,0.38,15.2,0,2,18,50,29,1,0,0.3724,0.304,0.114,0.0076,0.0,0.0076,0.0684,0.19,0.1102,0.0038,0.0,4
097_HFO,HFO,108,8.3,332.0,0,9,36,21,17,12,5,7.553,4.565,2.822,0.747,0.0,0.747,2.988,1.743,1.411,0.996,0.415,3
108_OLBO,BO,14,0.31,12.4,0,9,59,30,2,0,0,0.2821,0.0992,0.0062,0.0279,0.0,0.0279,0.1829,0.093,0.0062,0.0,0.0,3
112_OLBO,BO,90,0.18,7.2,0,16,47,27,8,2,0,0.1512,0.0666,0.018,0.0288,0.0,0.0288,0.0846,0.0486,0.0144,0.0036,0.0,3
113_OLBO,BO,106,0.42,16.8,0,3,12,9,10,21,45,0.4074,0.357,0.3192,0.0126,0.0,0.0126,0.0504,0.0378,0.042,0.0882,0.189,7
114_OLBO,BO,91,0.79,31.6,0,13,59,16,7,4,1,0.6873,0.2212,0.0948,0.1027,0.0,0.1027,0.4661,0.1264,0.0553,0.0316,0.0079,3
115_OLBO,BO,60,0.11,4.4,0,0,0,5,19,36,39,0.1089,0.1089,0.1034,0.0,0.0,0.0,0.0,0.0055,0.0209,0.0396,0.0429,7
117_OLBO,BO,147,2.5,98.0,2,20,39,21,11,6,1,1.95,0.975,0.45,0.55,0.05,0.5,0.975,0.525,0.275,0.15,0.025,3
118_OLBO,BO,2,0.46,18.4,0,30,69,2,0,0,0,0.3266,0.0092,0.0,0.138,0.0,0.138,0.3174,0.0092,0.0,0.0,0.0,3
119_OLBO,BO,24,0.069,2.76,0,19,60,18,3,0,0,0.05589,0.01449,0.00207,0.01311,0.0,0.01311,0.0414,0.01242,0.00207,0.0,0.0,3
129_HFO,HFO,31,17.0,680.0,0,4,55,37,3,0,0,16.15,6.8,0.51,0.68,0.0,0.68,9.35,6.29,0.51,0.0,0.0,3
131_HFO,HFO,120,1.0,40.0,0,1,7,8,14,29,42,1.0,0.93,0.85,0.01,0.0,0.01,0.07,0.08,0.14,0.29,0.42,7
134_HFO,HFO,134,27.0,1080.0,1,18,65,15,1,0,0,21.87,4.32,0.27,5.13,0.27,4.86,17.55,4.05,0.27,0.0,0.0,3
137_OLBO,BO,88,0.083,3.32,0,49,51,0,0,0,0,0.04233,0.0,0.0,0.04067,0.0,0.04067,0.04233,0.0,0.0,0.0,0.0,3
138_OLBO,BO,129,0.89,35.6,0,2,3,6,18,37,33,0.8633,0.8366,0.7832,0.0178,0.0,0.0178,0.0267,0.0534,0.1602,0.3293,0.2937,6
139_OLBO,BO,138,0.1,4.0,0,7,58,16,9,9,2,0.094,0.036,0.02,0.007,0.0,0.007,0.058,0.016,0.009,0.009,0.002,3
140_OLBO,BO,70,0.88,35.2,0,0,1,5,17,38,39,0.88,0.8712,0.8272,0.0,0.0,0.0,0.0088,0.044,0.1496,0.3344,0.3432,7
155_HFO,HFO,27,28.0,1120.0,51,42,6,0,0,0,0,1.68,0.0,0.0,26.04,14.28,11.76,1.68,0.0,0.0,0.0,0.0,1
164_HFO,HFO,18,4.6,184.0,0,2,37,26,19,12,4,4.508,2.806,1.61,0.092,0.0,0.092,1.702,1.196,0.874,0.552,0.184,3
166_HFO,HFO,52,2.0,80.0,0,3,34,37,16,8,2,1.94,1.26,0.52,0.06,0.0,0.06,0.68,0.74,0.32,0.16,0.04,4
197_HFO,HFO,87,3.5,140.0,0,6,48,25,13,6,2,3.29,1.61,0.735,0.21,0.0,0.21,1.68,0.875,0.455,0.21,0.07,3
